title,year,conf_abbr,subconf_abbr
Mathematical symbols as epistemic actions,2013,journals,synthese
PREDICTION OF UNLEARNED POSITION BASED ON LOCAL REGRESSION FOR,2013,conf,icassp
On the Role of Shape Prototypes in Hierarchical Models of Vision,2013,conf,ijcnn
"Organisational unlearning, organisational flexibility and innovation",2013,journals,ijtm
Organizational unlearning and organizational relearning: a dynamic,2013,journals,jkm
A novel approach to accelerate the convergence speed of a stochastic,2012,journals,nca
Participatory Learning of Propositional Knowledge,2012,journals,tfs
Decremental Learning of Evolving Fuzzy Inference Systems Using a Sliding,2012,conf,icmla
Traffic Prediction using a Generic Self-Evolving Takagi-Sugeno-Kang,2012,conf,ijcnn
Unlearning tinnitus-related cerebral synchrony with acoustic coordinated,2012,journals,bc
The Content-Based Image Retrieval using the Pulse Coupled Neural Network,2012,conf,ijcnn
Combined local search strategy for learning in networks of binary,2011,journals,corr
Loss of skills in coordination games,2011,journals,ijgt
Balancing technology and physician-patient knowledge through an,2011,journals,ijinfoman
Malay Isolated Speech Recognition Using Neural Network: A Work in,2011,journals,iajit
A parallel neural network approach to prediction of Parkinson's Disease,2011,journals,eswa
Low-cost simulated MIG welding for advancement in technical training,2011,journals,vr
Unlearning in the BCM Learning Rule for Plastic Self-organization in a,2011,conf,icann
Tracking the Preferences of Users Using Weak Estimators,2011,conf,ausai
Online kernel density estimation for interactive learning,2010,journals,ivc
A BCM Theory of Meta-Plasticity for Online Self-Reorganizing,2010,journals,tnn
"Learning, unlearning and internationalisation: Evidence from the",2010,journals,ijinfoman
Solutions to Open Questions for Non-U-Shaped Learning with Memory,2010,conf,alt
Learning and Unlearning in Hopfield-Like Neural Network Performing,2010,series,sci
Theoretical Model for Interplay between Some Learning Situations and,2010,conf,its
Natural Language Processing Neural Network for Recall and Inference,2010,conf,icann
Recurrent-Neural-Network-Based Boolean Factor Analysis and Its,2009,journals,tnn
ON-LINE FACE TRACKING UNDER LARGE LIGHTING CONDITION VARIATIONS USING,2009,conf,visapp
Biologically-inspired robot spatial cognition based on rat,2008,journals,arobots
"U-shaped, iterative, and iterative-with-counter learning",2008,journals,ml
Non-U-shaped vacillatory and team learning,2008,journals,jcss
When unlearning helps,2008,journals,iandc
Managing change in an information systems development organization:,2008,journals,isj
"Unlearning as a driver, of sustainable change and innovation: three",2008,journals,ijtm
Anomaly Detection Support Vector Machine and Its Application to Fault,2008,conf,icdm
Learning non-homogenous textures and the unlearning problem with,2008,conf,isbi
Boosting with Cross-Validation Based Feature Selection for Pedestrian,2008,conf,ijcnn
Results on memory-limited U-shaped learning,2007,journals,iandc
Learning with incomplete information and the mathematical structure,2007,journals,bc
Therapeutic rewiring by means of desynchronizing brain stimulation,2007,journals,biosystems
"U-shaped, iterative, and iterative-with-counter learning",2007,conf,colt
Learning - unlearning EO for mining high resolution images,2007,conf,igarss
ENMIM: Energetic Normalized Mutual Information Model for online multiple,2007,conf,acivs
Optimizing number of hidden neurons in neural networks,2007,conf,aia
"Comparison of statistical and, shape-based approaches for non-rigid",2006,conf,acivs
Rotation and size independent face recognition by the spreading,2006,conf,ijcnn
Long-term anti-kindling effects of desynchronizing brain stimulation: a,2006,journals,bc
Non U-shaped vacillatory and team learning,2005,conf,alt
Innovative Learning and Unlearning,2005,conf,icce
Restoring partly occluded patterns: a neural network model,2005,journals,nn
Remembrance of things past? The dynamics of organizational forgetting,2004,journals,mansci
A robust method for distinguishing between learned and spurious,2004,journals,nn
Task oriented machine-learning and review,2004,conf,icai
Learning skin distribution using a sparse map,2004,conf,icip
Unlearning phenomena in co-evolution of non-uniform cellular automata,2004,conf,acri
Robust Gaussian and non-Gaussian matched subspace detection,2003,journals,tsp
Gene networks inference using dynamic Bayesian networks,2003,conf,eccb
Spike-timing-dependent plasticity and relevant mutual information,2003,journals,neco
Establishing and maintaining perceptual coherence: unimodal and,2003,journals,jphonetics
Control of consolidation in neural networks: avoiding runaway effects,2003,journals,connection
Neural reinforcement learning for the control of an autonomous mobile,2003,conf,ra
Neural Q-learning control architectures for a wall-following behavior,2003,conf,iros
Multicategory incremental proximal support vector classifiers,2003,conf,kes
Spike-based synaptic plasticity and the emergence of direction selective,2002,journals,jcns
On model selection and the disability of neural networks to decompose,2002,journals,corr
Using localizing learning to improve supervised learning algorithms,2001,journals,tnn
Direct process estimation from tomographic data using artificial neural,2001,journals,jei
Experimental evaluation of policies for sequencing the presentation of,2001,journals,tsmc
Direct process estimation from tomographic data using artificial neural,2001,journals,jei
Unlearning helps,2000,conf,icalp
Inhibitory unlearning: a mechanism for increasing the storage capacity,2000,conf,kes
The evaluating system of human skin surface condition by image,2000,conf,smc
The consolidation of learning during sleep: comparing the,1999,journals,nn
Development of fuzzy learning vector quantization neural network for,1999,conf,icannga
Detection of suspected malignant patterns in three-dimensional magnetic,1998,journals,jdi
An analytical framework for local feedforward networks,1998,journals,tnn
Recognition of facial images with low resolution using a Hopfield memory,1998,journals,pr
Automated extraction of welds from digitized radiographic images based,1997,journals,aai
Two simple strategies to improve bidirectional associative memory's,1997,conf,icnn
The work of leadership,1997,conf,hci
Investigation of the Crick-Mitchison reverse-learning dream sleep,1996,journals,nn
Improving reinforcement learning in stochastic RAM-based neural networks,1996,journals,npl
Linear unlearning for cross-validation,1996,journals,adcm
On-line training of recurrent neural networks with continuous topology,1996,journals,tnn
Recognition of handwritten musical notes by a modified Neocognitron,1996,journals,mva
GENETICS-BASED LEARNING OF NEW HEURISTICS - RATIONAL SCHEDULING OF,1995,journals,tkde
REPRESENTATIONAL TRAJECTORIES IN CONNECTIONIST LEARNING,1994,journals,mima
THE CONVERGING UNLEARNING ALGORITHM FOR THE HOPFIELD NEURAL NETWORK -,1994,conf,icpr
UNIVERSALITY OF UNLEARNING,1994,journals,nn
LOCAL SYNAPTIC LEARNING RULES SUFFICE TO MAXIMIZE MUTUAL INFORMATION IN,1992,journals,neco
'UNLEARNING',1992,journals,oopsm
UNLEARNING ARISTOTELIAN PHYSICS - A STUDY OF KNOWLEDGE-BASED LEARNING,1982,journals,cogsci
