title,year,class,confedence
Self-Previewing Gestures and the Gesture-and-Effect Model: Experimentation with Responsive Visual Feedback for New and Unlearned Interactions,2017,conf,bcshci
Unlearning before Creating new Knowledge: A Cognitive Process,2017,conf,hicss
Perceptions of Successful Unlearning in Hearing Aid Practioners,2017,conf,hicss
Unlearning with technology,2016,journals,ile
Machine learning and unlearning to autonomously switch between the functions of a myoelectric arm,2016,conf,biorob
What Have We Unlearned Since the Early Days of the Process Movement?,2016,conf,caise
Does Incomplete Unlearning Impact Medical Errors?,2016,conf,hicss
A Simple Unlearning Framework for Online Learning Under Concept Drifts,2016,conf,pakdd
"Learning, unlearning and relearning - knowledge life cycles in library and information science education",2015,journals,efi
Digital Cultures of Commemoration: Learning and Unlearning History through Video Games,2015,conf,cscs
Computer System Unlearning in Individuals,2015,conf,hicss
Towards Making Systems Forget with Machine Unlearning,2015,conf,sp
&quot;Smoking Does Not Make You Happy&quot; - Unlearning Smoking Habits Through Mobile Applications on Android OS,2014,conf,csedu
Error Occurrence: Successful versus Unsuccessful Unlearning in Individuals,2014,conf,hicss
A novel classification method with unlearned-class detection based on a gaussian mixture model,2014,conf,smc
Implementing telemedicine technologies through an unlearning context in a homecare setting,2013,journals,behaviourIT
"Organisational unlearning, organisational flexibility and innovation capability: an empirical study of SMEs in China",2013,journals,ijtm
Organizational unlearning and organizational relearning: a dynamic process of knowledge management,2013,journals,jkm
Prediction of unlearned position based on local regression for single-channel talker localization using acoustic transfer function,2013,conf,icassp
Unlearning from Demonstration,2013,conf,ijcai
Unlearning tinnitus-related cerebral synchrony with acoustic coordinated reset stimulation: theoretical concept and modelling,2012,journals,bc
Managing Obsolete Knowledge: towards a Clarified and Contextualized conception of unlearning,2012,conf,ecis
Balancing technology and physician-patient knowledge through an unlearning context,2011,journals,ijinfoman
Unlearning in the BCM Learning Rule for Plastic Self-organization in a Multi-modal Architecture,2011,conf,icann
Learning to Unlearn in Lattices of Concepts: A Case Study in Fluid Construction Grammars,2011,conf,synasc
"Learning, unlearning and internationalisation: Evidence from the pre-export phase",2010,journals,ijinfoman
The Margin Perceptron with Unlearning,2010,conf,icml
Learning and Unlearning in Hopfield-Like Neural Network Performing Boolean Factor Analysis,2010,series,sci
When unlearning helps,2008,journals,iandc
Unlearning as a driver of sustainable change and innovation: three Australian case studies,2008,journals,ijtm
Learning non-homogenous textures and the unlearning problem with application to drusen detection in retinal images,2008,conf,isbi
On-line Learning of an Unlearnable True Teacher through Mobile Ensemble Teachers,2008,journals,corr
Fostering innovation by unlearning tacit knowledge,2007,journals,kybernetes
ENMIM: Energetic Normalized Mutual Information Model for Online Multiple Object Tracking with Unlearned Motions,2007,conf,acivs
Learning - unlearning for mining high resolution EO images,2007,conf,igarss
Statistical Mechanics of On-line Learning when a Moving Teacher Goes around an Unlearnable True Teacher,2006,journals,corr
Innovative Learning and Unlearning,2005,conf,icce
What can we unlearn from BGP?,2005,conf,mobicom
Unlearning Phenomena in Co-evolution of Non-uniform Cellular Automata,2004,conf,acri
IS Process Innovation Unlearning in Organisations,2004,conf,ecis
Distinguishing Spurious and Nominal Attractors Applying Unlearning to an Asymmetric Neural Network,2002,journals,ijns
Linking Motor Learning to Function Approximation: Learning in an Unlearnable Force Field,2001,conf,nips
Learning and Unlearning Mechanisms in Animats and Animals,2000,journals,adb
Unlearning Helps,2000,conf,icalp
Inhibitory unlearning: a mechanism for increasing the storage capacity in an attractor network,2000,conf,kes
The consolidation of learning during sleep: comparing the pseudorehearsal and unlearning accounts,1999,journals,nn
Two simple strategies to improve bidirectional associative memory&apos;s performance: unlearning and delta rule,1997,conf,icnn
Linear unlearning for cross-validation,1996,journals,adcm
On unlearnable problems -or- A model for premature saturation in backpropagation learning,1996,conf,esann
Convergent Unlearning Algorithm for the Hopfield Neural Network,1995,conf,annes
Some results on convergent unlearning algorithm,1995,conf,nips
Universality of unlearning,1994,journals,nn
The converging unlearning algorithm for the Hopfield neural network: optimal strategy,1994,conf,icpr
Hebbian Unlearning,1993,conf,ac
Retraining procedural programmers: a case against &quot;unlearning&quot;,1992,journals,oopsm
Learning the Unlearnable,1991,journals,neco
Unlearning Aristotelian Physics: A Study of Knowledge-Based Learning,1982,journals,cogsci
Machine unlearning,2021,journals,corr
